.threshold,specificity,sensitivity
0.0028468339166627527,0.015595304639463388,0.9992169146436961
0.0028475856509158877,0.015651201788708775,0.9992169146436961
0.0028479762743561453,0.015707098937954165,0.9992169146436961
0.002849955522191453,0.015762996087199554,0.9992169146436961
0.0028543015901646186,0.01581889323644494,0.9992169146436961
0.00286995585587819,0.01587479038569033,0.9992169146436961
0.0028724366574477693,0.01593068753493572,0.9992169146436961
0.0028848550165013953,0.015986584684181106,0.9992169146436961
0.0028864244141024033,0.016042481833426495,0.9992169146436961
0.0029104405567266715,0.016098378982671885,0.9992169146436961
0.0029212608185335983,0.01615427613191727,0.9992169146436961
0.0029266895883713465,0.01621017328116266,0.9992169146436961
0.0029286456297324156,0.01626607043040805,0.9992169146436961
0.002930795757675978,0.016321967579653436,0.9992169146436961
0.0029316325600852802,0.016377864728898826,0.9992169146436961
0.002934204122648235,0.016433761878144215,0.9992169146436961
0.0029358598071349646,0.016489659027389605,0.9992169146436961
0.002950099467452542,0.01654555617663499,0.9992169146436961
0.002951262121215224,0.01654555617663499,0.9988253719655442
0.0029610403113484434,0.01660145332588038,0.9988253719655442
0.0029648240907040463,0.01665735047512577,0.9988253719655442
0.002987622805377306,0.016713247624371156,0.9988253719655442
0.0029906115676202284,0.016769144773616546,0.9988253719655442
0.0029957156611934055,0.016825041922861935,0.9988253719655442
0.002998549611200126,0.01688093907210732,0.9988253719655442
0.003000762057568322,0.01693683622135271,0.9988253719655442
0.003005348681076962,0.0169927333705981,0.9988253719655442
0.003005419460990868,0.017048630519843486,0.9988253719655442
0.003006710180123423,0.017104527669088876,0.9988253719655442
0.003011358883930568,0.017160424818334265,0.9988253719655442
0.003013218202406892,0.017216321967579655,0.9988253719655442
0.0030192729086116555,0.01727221911682504,0.9988253719655442
0.003030126186839492,0.01732811626607043,0.9988253719655442
0.0030305660423495186,0.01738401341531582,0.9988253719655442
0.0030334396961075685,0.017439910564561206,0.9988253719655442
0.0030490991095598165,0.017495807713806596,0.9988253719655442
0.0030569793103183422,0.017551704863051985,0.9988253719655442
0.0030583012861012445,0.01760760201229737,0.9988253719655442
0.0030635430047746557,0.01766349916154276,0.9988253719655442
0.003070039021712913,0.01766349916154276,0.9984338292873923
0.0030708022426686687,0.01771939631078815,0.9984338292873923
0.003075250672945265,0.017775293460033537,0.9984338292873923
0.003082416154795017,0.017831190609278926,0.9984338292873923
0.003084753206611373,0.017887087758524316,0.9984338292873923
0.003085250706542216,0.017942984907769705,0.9984338292873923
0.0030894194497428002,0.01799888205701509,0.9984338292873923
0.0031008389679853393,0.01805477920626048,0.9984338292873923
0.0031109775917147796,0.01811067635550587,0.9984338292873923
0.003125910021808039,0.018166573504751257,0.9984338292873923
0.0031265258571831663,0.018222470653996646,0.9984338292873923
0.0031329563550903687,0.018278367803242036,0.9984338292873923
0.0031395778150140594,0.01833426495248742,0.9984338292873923
0.0031510255052362756,0.01839016210173281,0.9984338292873923
0.0031606618192641695,0.0184460592509782,0.9984338292873923
0.003161449228903422,0.018501956400223587,0.9984338292873923
0.0031897556695941014,0.018557853549468976,0.9984338292873923
0.003189991493298371,0.018613750698714366,0.9984338292873923
0.0031942479563470912,0.018669647847959756,0.9984338292873923
0.0032009047498509184,0.01872554499720514,0.9984338292873923
0.003201317196722052,0.01878144214645053,0.9984338292873923
0.0032030126003926777,0.01883733929569592,0.9984338292873923
0.0032055547453339103,0.018893236444941307,0.9984338292873923
0.0032111632843825557,0.018949133594186696,0.9984338292873923
0.0032121869702624135,0.019005030743432086,0.9984338292873923
0.003214307624338561,0.019060927892677472,0.9984338292873923
0.003218365052298875,0.01911682504192286,0.9984338292873923
0.003240964134740343,0.01917272219116825,0.9984338292873923
0.0032419239742188764,0.01922861934041364,0.9984338292873923
0.0032420456447345447,0.019284516489659027,0.9984338292873923
0.0032445604731683453,0.019340413638904416,0.9984338292873923
0.0032495818082512195,0.019396310788149806,0.9984338292873923
0.0032513643151117918,0.019452207937395192,0.9984338292873923
0.003255912896189638,0.01950810508664058,0.9984338292873923
0.003257976376196333,0.01956400223588597,0.9984338292873923
0.003259679223123348,0.019619899385131357,0.9984338292873923
0.0032645501189106814,0.019675796534376747,0.9984338292873923
0.003266036760601063,0.019731693683622136,0.9984338292873923
0.003269811722697071,0.019787590832867522,0.9984338292873923
0.003281978060812152,0.019843487982112912,0.9984338292873923
0.003282195895196745,0.0198993851313583,0.9984338292873923
0.0032844940215339745,0.01995528228060369,0.9984338292873923
0.0033040535275639694,0.020011179429849077,0.9984338292873923
0.003307906614607029,0.020067076579094466,0.9984338292873923
0.003310473462308973,0.020122973728339856,0.9984338292873923
0.003310948126572639,0.020178870877585242,0.9984338292873923
0.0033159739277159824,0.02023476802683063,0.9984338292873923
0.0033205943456657834,0.02029066517607602,0.9984338292873923
0.0033265683551855717,0.020346562325321407,0.9984338292873923
